User,auth,auth
AccessRouteService,job,job
RouteAccessed,job,job
IGetPostQuery,post,post
NotFoundException,notification,notification
TypeAbout,notification,notification
UserId,notification,notification
NotificationRepositoryInterface,notification,notification
NotificationId,notification,notification
AboutId,notification,notification
Notification,notification,notification
PendidikanId,job,job
PendidikanIdList,job,job
IncrementApplicantNumberService,job,job
AddVacancyService,job,job
SubmitApplicationFormRequest,job,job
UpdateVacancyRequest,job,job
Dokumen,job,job
GetVacancyDetailService,job,job
SkillId,job,job
GetApplicantListService,job,job
Perusahaan,job,job
SkillIdList,job,job
Pendidikan,job,job
SubmitApplicationFormService,job,job
UserTrait,job,job
LamaranId,job,job
BerkasIdList,job,job
DokumenIdList,job,job
UnpublishVacancyService,job,job
GetSavedVacancyListRequest,job,job
BerkasIdListFactory,job,job
GetEducationDetailService,job,job
CloseVacancyService,job,job
AddVacancyRequest,job,job
JobRepository,job,job
LowonganId,job,job
GetSavedEmployeeListRequest,job,job
GetApplicationDetailService,job,job
UploadFileRequest,job,job
SaveVacancyService,job,job
JobSeeker,job,job
DokumenId,job,job
LamaranCreated,job,job
LowonganStatus,job,job
GetSkillListService,job,job
GetCompanyRequiredDocumentListResponse,job,job
BerkasId,job,job
JobSeekerId,job,job
PengalamanId,job,job
GetApplicationFormService,job,job
UpdateVacancyService,job,job
IdList,job,job
GetVacancyListService,job,job
AddRequiredDocumentRequest,job,job
Lowongan,job,job
GetCompanyRequiredDocumentListService,job,job
Tanggal,job,job
PendidikanIdListFactory,job,job
GetExperienceDetailService,job,job
DeleteSavedEmployeeService,job,job
UpdateExperienceService,job,job
LamaranStatus,job,job
SaveProspectiveEmployeeService,job,job
SkillIdListFactory,job,job
UpdateEducationService,job,job
DokumenIdListFactory,job,job
FollowCompanyService,job,job
GetVacancyDetailService,job,job
GetJobTypeListService,job,job
AddRequiredDocumentService,job,job
GetApplicationDetailService,job,job
AddDefaultRequiredDocumentsToNewCompanyService,job,job
PerusahaanId,job,job
PengalamanIdList,job,job
UpdateExperienceRequest,job,job
MssqlJobRepository,job,job
GetSavedVacancyListService,job,job
DeleteSavedVacancyService,job,job
GetCompanyListRequest,job,job
GetMyVacancyListService,job,job
Lamaran,job,job
DeleteVacancyService,job,job
GetSavedEmployeeListService,job,job
PengalamanIdListFactory,job,job
UploadFileService,job,job
Pengalaman,job,job
GetProspectiveEmployeeListService,job,job
GetCompanyListService,job,job
PublishVacancyService,job,job
GetJobSeekerProfileService,job,job
UpdateEducationRequest,job,job
GetVacancyListRequest,job,job
GetProspectiveEmployeeListRequest,job,job
NotAllowedEditData,profile,profile
PostRepositoryInterface,profile,profile
Post,profile,profile
Email,profile,profile
Username,profile,profile
UpdateCompanyService,profile,profile
Follower,profile,profile
IGetUserProfilePostQuery,profile,profile
DeleteCompanyService,profile,profile
ConnectUserService,profile,profile
ConnectUserRequest,profile,profile
UploadUserPictureService,profile,profile
NotAllowedDeleteData,profile,profile
CompanyRepositoryInterface,profile,profile
DeletePostService,profile,profile
Status,profile,profile
Type,profile,profile
WithdrawConnectionRequest,profile,profile
DeleteCompanyRequest,profile,profile
Connection,profile,profile
NotFoundException,profile,profile
UploadCompanyPictureService,profile,profile
CreatePostService,profile,profile
RejectConnectionRequest,profile,profile
CreatePostRequest,profile,profile
UpdateUserRequest,profile,profile
UpdatePostRequest,profile,profile
DeletePostRequest,profile,profile
UnconnectUserService,profile,profile
